Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $290.88/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xf4ecbc9fc996b0bf579d3f46d8329b3e4e4cda42d6dcc9f72c41783a19c69cc2,8341804,1623831646,2021/6/16 8:20,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.22197142,0,64.56704665,0.00021,0.0610848,347.26,,,Transfer
0x41f4b9b76154f1a43668e85d22c2593214b2467033c27bb43320316aecad89d7,8342106,1623832552,2021/6/16 8:35,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.21,61.0848,0.00212179,0.617186275,347.26,,,Swap Exact ETH For Tokens
0x17680cab215af5e4c756271e145cbd37ef39240dafb5815aea9f56da975993ba,8342149,1623832681,2021/6/16 8:38,0x629c2517795aed74c475b2e0914a935a395f86a9,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.009201,0,2.67638688,0.0001071,0.031153248,347.26,,,Transfer
0x00b3dfbbc087d452c5d1332b2a04e446997f888292c437d641b97864c28c9a19,8342267,1623833035,2021/6/16 8:43,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x9b2605195569f8e6348d951b909e1a55efe11ae7,,0,0,0,0.00033881,0.098553053,347.26,,,Set User Info
0xba74f03ba2fad74d4331ffeaa568b33e154c493cbaeff98ec1669808de8b8c1c,8371283,1623920638,2021/6/17 9:03,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x9b2605195569f8e6348d951b909e1a55efe11ae7,,0,0,0,0.00076356,0.222104333,352.83,,,Claim BNB Reward
0xa93fc0069e6c353bdd9778ad7f2722e8ea3b8274bfcba5ff181ba85f2c90d9b9,8371465,1623921186,2021/6/17 9:13,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.023692519,6.891679979,0.001952435,0.567924293,352.83,,,Swap Exact ETH For Tokens
0xbff5ad9b6e4e3e5af69d9841314347690dc4f156684f71f154a9e11127bb0c61,8371691,1623921921,2021/6/17 9:25,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.47534861,0,138.2694037,0.00021,0.0610848,352.83,,,Transfer
0xd95b1a2619894aa9d1592f4d7212d470bbf389f868ac7282e76e979bc925742b,8371721,1623922012,2021/6/17 9:26,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.473396175,137.7014794,0.00112036,0.325890317,352.83,,,Swap Exact ETH For Tokens
0x6fc48d2cfbe9c8e9b02ad4a1a8a39a08f2a6284f81a166360ab9b0c8de549a4c,8428163,1624092823,2021/6/19 8:53,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x9b2605195569f8e6348d951b909e1a55efe11ae7,,0,0,0,0.00015022,0.043695994,334.24,,,Claim Bonus
0xafc0f82dafe8bda21719620278c53fcb6f74ac8f04eded75c90bb56f96091958,8428592,1624094110,2021/6/19 9:15,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x9b2605195569f8e6348d951b909e1a55efe11ae7,,0,0,0,0.000688615,0.200304331,334.24,,,Claim BNB Reward
