Date(UTC),type,Amount,Asset,Symbol
32:45.9,TRANSFER,144.1114844,USDT,
40:45.8,COMMISSION,-0.06922742,USDT,BTCUSDT
19:21.7,COMMISSION,-0.13762028,USDT,BTCUSDT
19:21.7,REALIZED_PNL,2.0864,USDT,BTCUSDT
27:20.0,COMMISSION,-0.35710885,USDT,BTCUSDT
27:45.8,COMMISSION,-0.3826909,USDT,ETHUSDT
27:45.8,COMMISSION,-0.20189928,USDT,ETHUSDT
43:11.2,COMMISSION,-0.01110547,USDT,LTCUSDT
43:11.2,COMMISSION,-0.0968365,USDT,LTCUSDT
43:11.2,COMMISSION,-0.03351472,USDT,LTCUSDT
46:23.1,COMMISSION,-0.50953129,USDT,BTCUSDT
46:23.1,REALIZED_PNL,-1.356,USDT,BTCUSDT
46:23.1,COMMISSION,-0.20656674,USDT,BTCUSDT
46:23.1,REALIZED_PNL,-3.3448,USDT,BTCUSDT
48:44.2,COMMISSION,-0.01375268,USDT,BTCUSDT
48:44.2,COMMISSION,-0.02750627,USDT,BTCUSDT
48:44.2,COMMISSION,-0.53632815,USDT,BTCUSDT
48:44.2,COMMISSION,-0.08251634,USDT,BTCUSDT
52:18.9,COMMISSION,-0.0099396,USDT,LTCUSDT
52:18.9,COMMISSION,-0.08203978,USDT,LTCUSDT
52:18.9,REALIZED_PNL,-0.06102686,USDT,LTCUSDT
52:18.9,COMMISSION,-0.04558963,USDT,LTCUSDT
52:18.9,REALIZED_PNL,-0.02603813,USDT,LTCUSDT
52:18.9,REALIZED_PNL,-0.51605509,USDT,LTCUSDT
52:18.9,REALIZED_PNL,-0.2799099,USDT,LTCUSDT
52:18.9,COMMISSION,-0.00424089,USDT,LTCUSDT
52:48.5,COMMISSION,-0.17941963,USDT,ETCUSDT
52:48.5,COMMISSION,-0.05278457,USDT,ETCUSDT
07:03.2,REALIZED_PNL,7.45927,USDT,ETHUSDT
07:03.2,COMMISSION,-0.58757389,USDT,ETHUSDT
19:35.3,REALIZED_PNL,4.78136,USDT,BTCUSDT
19:35.3,COMMISSION,-0.331008,USDT,BTCUSDT
21:29.2,COMMISSION,-0.23315664,USDT,ETCUSDT
21:29.2,REALIZED_PNL,2.38107999,USDT,ETCUSDT
25:17.3,COMMISSION,-0.3726,USDT,BTCUSDT
35:02.1,REALIZED_PNL,8.1,USDT,BTCUSDT
35:02.1,COMMISSION,-0.37422,USDT,BTCUSDT
39:29.7,COMMISSION,-0.08459724,USDT,ETHUSDT
39:29.7,COMMISSION,-0.26587818,USDT,ETHUSDT
39:29.7,COMMISSION,-0.03997555,USDT,ETHUSDT
39:52.5,COMMISSION,-0.2901916,USDT,BTCUSDT
40:28.1,COMMISSION,-0.18983415,USDT,XRPUSDT
40:28.1,COMMISSION,-0.1618525,USDT,XRPUSDT
55:38.1,REALIZED_PNL,1.02996,USDT,XRPUSDT
55:38.1,COMMISSION,-0.10301888,USDT,XRPUSDT
55:38.1,COMMISSION,-0.15992976,USDT,XRPUSDT
55:38.1,REALIZED_PNL,0.84875,USDT,XRPUSDT
55:38.1,COMMISSION,-0.0873291,USDT,XRPUSDT
55:38.1,REALIZED_PNL,1.64354,USDT,XRPUSDT
57:14.6,REALIZED_PNL,-2.65797,USDT,BTCUSDT
57:14.6,COMMISSION,-0.28912842,USDT,BTCUSDT
58:29.8,COMMISSION,-0.86847037,USDT,BTCUSDT
00:31.1,COMMISSION,-0.13288123,USDT,LTCUSDT
00:31.1,COMMISSION,-0.03999337,USDT,LTCUSDT
06:41.7,REALIZED_PNL,-5.60448,USDT,BTCUSDT
06:41.7,COMMISSION,-0.87071216,USDT,BTCUSDT
13:09.7,COMMISSION,-0.93070611,USDT,BTCUSDT
14:23.5,COMMISSION,-0.1020737,USDT,ETHUSDT
14:23.5,COMMISSION,-0.29123781,USDT,ETHUSDT
14:23.5,REALIZED_PNL,1.85594819,USDT,ETHUSDT
14:23.5,REALIZED_PNL,5.2954118,USDT,ETHUSDT
21:00.2,REALIZED_PNL,-12.84256,USDT,BTCUSDT
21:00.2,COMMISSION,-0.93584313,USDT,BTCUSDT
21:09.6,REALIZED_PNL,-3.93852,USDT,LTCUSDT
21:09.6,COMMISSION,-0.17445001,USDT,LTCUSDT
22:47.8,COMMISSION,-2.0092366,USDT,BTCUSDT
36:13.4,COMMISSION,-0.00626304,USDT,BCHUSDT
36:13.4,COMMISSION,-0.0769832,USDT,BCHUSDT
36:13.4,COMMISSION,-0.13491632,USDT,BCHUSDT
36:13.4,COMMISSION,-0.01617952,USDT,BCHUSDT
36:13.4,COMMISSION,-0.01069936,USDT,BCHUSDT
45:53.3,REALIZED_PNL,-2.01117,USDT,BTCUSDT
45:53.3,COMMISSION,-1.3914768,USDT,BTCUSDT
45:53.3,REALIZED_PNL,-2.1965,USDT,BTCUSDT
45:53.3,REALIZED_PNL,-9.566,USDT,BTCUSDT
45:53.3,COMMISSION,-0.2922092,USDT,BTCUSDT
45:53.3,COMMISSION,-0.32004113,USDT,BTCUSDT
45:57.8,REALIZED_PNL,-1.03376,USDT,BCHUSDT
45:57.8,COMMISSION,-0.0041824,USDT,BCHUSDT
45:57.8,COMMISSION,-0.24127958,USDT,BCHUSDT
45:57.8,REALIZED_PNL,-0.0176,USDT,BCHUSDT
47:42.5,COMMISSION,-0.44341788,USDT,XRPUSDT
47:42.5,COMMISSION,-0.12327369,USDT,XRPUSDT
47:42.5,COMMISSION,-0.14123236,USDT,XRPUSDT
50:41.6,COMMISSION,-0.038028,USDT,XRPUSDT
50:41.6,COMMISSION,-0.03293224,USDT,XRPUSDT
50:41.6,COMMISSION,-0.40172356,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-0.4690637,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-17.17866678,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-2.86424173,USDT,XRPUSDT
51:59.1,COMMISSION,-1.09993751,USDT,XRPUSDT
51:59.1,COMMISSION,-0.00952972,USDT,XRPUSDT
51:59.1,COMMISSION,-0.08876204,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-0.35392988,USDT,XRPUSDT
51:59.1,COMMISSION,-0.01262976,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-1.79807753,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-18.9703334,USDT,XRPUSDT
51:59.1,COMMISSION,-0.00267904,USDT,XRPUSDT
51:59.1,COMMISSION,-0.50380307,USDT,XRPUSDT
51:59.1,COMMISSION,-0.04841408,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-0.09949836,USDT,XRPUSDT
51:59.1,COMMISSION,-0.07659027,USDT,XRPUSDT
51:59.1,REALIZED_PNL,-3.31942858,USDT,XRPUSDT
52:30.7,REALIZED_PNL,-0.0255,USDT,XRPUSDT
52:30.7,COMMISSION,-0.63838803,USDT,XRPUSDT
52:30.7,REALIZED_PNL,-5.18661,USDT,XRPUSDT
52:30.7,COMMISSION,-0.0032436,USDT,XRPUSDT
53:25.9,COMMISSION,-0.39124904,USDT,BTCUSDT
53:25.9,COMMISSION,-0.2095977,USDT,BTCUSDT
53:25.9,COMMISSION,-0.64276628,USDT,BTCUSDT
06:40.2,COMMISSION,-0.30583996,USDT,ETHUSDT
07:06.4,COMMISSION,-0.30582227,USDT,ETHUSDT
07:06.4,REALIZED_PNL,-0.04423999,USDT,ETHUSDT
10:42.5,COMMISSION,-1.25535817,USDT,BTCUSDT
10:42.5,REALIZED_PNL,29.36288,USDT,BTCUSDT
14:22.4,COMMISSION,-1.7415324,USDT,BTCUSDT
00:01.1,FUNDING_FEE,-0.44078912,USDT,BTCUSDT
46:25.9,REALIZED_PNL,80.319,USDT,BTCUSDT
46:25.9,COMMISSION,-0.88683,USDT,BTCUSDT
47:22.2,COMMISSION,-0.90847083,USDT,BTCUSDT
47:22.2,COMMISSION,-0.14420172,USDT,BTCUSDT
50:26.1,COMMISSION,-1.05387121,USDT,BTCUSDT
50:26.1,REALIZED_PNL,-2.99665,USDT,BTCUSDT
00:49.0,COMMISSION,-0.01449356,USDT,BTCUSDT
00:49.0,COMMISSION,-0.11594963,USDT,BTCUSDT
00:49.0,COMMISSION,-1.4493296,USDT,BTCUSDT
03:06.5,COMMISSION,-0.1294722,USDT,ETHUSDT
03:06.5,COMMISSION,-0.497984,USDT,ETHUSDT
03:06.5,COMMISSION,-0.06174828,USDT,ETHUSDT
30:29.4,REALIZED_PNL,-6.45509965,USDT,ETHUSDT
30:29.4,COMMISSION,-0.38160968,USDT,ETHUSDT
30:29.4,REALIZED_PNL,-7.86198034,USDT,ETHUSDT
30:29.4,COMMISSION,-0.31332163,USDT,ETHUSDT
39:33.1,COMMISSION,-1.02960447,USDT,ETHUSDT
52:09.6,COMMISSION,-1.48150462,USDT,BTCUSDT
52:09.6,COMMISSION,-0.08630085,USDT,BTCUSDT
52:09.6,REALIZED_PNL,-28.27052339,USDT,BTCUSDT
52:09.6,REALIZED_PNL,-1.6477866,USDT,BTCUSDT
52:09.6,REALIZED_PNL,-0.09324,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-4.0456,USDT,ETHUSDT
52:09.6,COMMISSION,-0.32480944,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-0.04662,USDT,ETHUSDT
52:09.6,COMMISSION,-0.02789696,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-6.23555,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-5.04322,USDT,ETHUSDT
52:09.6,COMMISSION,-0.00597792,USDT,ETHUSDT
52:09.6,COMMISSION,-0.00298896,USDT,ETHUSDT
52:09.6,COMMISSION,-0.39952271,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-0.43512,USDT,ETHUSDT
52:09.6,COMMISSION,-0.25904112,USDT,ETHUSDT
52:09.6,COMMISSION,-0.00298896,USDT,ETHUSDT
52:09.6,REALIZED_PNL,-0.04662,USDT,ETHUSDT
52:24.8,COMMISSION,-0.02290238,USDT,ETHUSDT
52:24.8,COMMISSION,-0.0995756,USDT,ETHUSDT
52:24.8,COMMISSION,-0.0995756,USDT,ETHUSDT
52:24.8,COMMISSION,-0.73586072,USDT,ETHUSDT
52:44.7,COMMISSION,-0.071896,USDT,BTCUSDT
52:44.7,COMMISSION,-0.23006668,USDT,BTCUSDT
52:44.7,COMMISSION,-0.0431376,USDT,BTCUSDT
52:44.7,COMMISSION,-0.01437916,USDT,BTCUSDT
52:44.7,COMMISSION,-0.14379168,USDT,BTCUSDT
52:44.7,COMMISSION,-0.01437916,USDT,BTCUSDT
52:44.7,COMMISSION,-0.3594791,USDT,BTCUSDT
